_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
10973,42045407805,12-Dec,57,24,597,357.5,0,223,730.73,0,744.29,11,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,8,0,2,678,1475,8,0,18,,,,,,
10974,42045407806,12-Dec,116,26,645,1066.21,0,1002,414.13,0,710.17,8,19,0,2,1,0,0,11,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,12,0,0,4,4,0,0,0,0,2,0,0,1,0,0,2,4,0,3,787,1124,21,5,20,,,,,,
10975,42045407901,12-Dec,14,6,1533,0,0,1352.79,167,0,1089.92,1,0,0,19,0,0,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,3,1553,1256,19,0,13,,,,,,
10976,42045407902,12-Dec,113,41,1359,1044.44,0,1014.4,1131.25,0,863.63,8,9,0,20,0,0,4,5,0,8,3,0,5,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,16,0,0,2,1,0,0,5,0,7,0,0,1,0,0,2,2,0,4,1513,1994,29,4,24,,,,,,
10977,42045407903,12-Dec,89,27,1620,714,0,1378.6,952.56,0,619.59,9,1,0,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,4,2,0,5,4,0,1,0,0,2,0,0,3,0,0,2,1736,1572,6,0,26,,,,,,
10978,42045408001,12-Dec,336,23,2694,457.49,0,453.31,1433.33,0,1119.9,3,279,0,396,277,0,391,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,3,0,7,0,0,4,0,0,1,0,0,2,3053,2553,675,0,24,,,,,,
10979,42045408002,12-Dec,105,30,1741,1122.3,0,904.11,779.9,0,1042.92,10,10,0,9,1,0,1,1,0,1,7,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,0,7,3,0,2,0,0,1,0,0,0,5,0,1,1876,1822,19,0,22,,,,,,
10980,42045408101,12-Dec,104,16,1808,1724.8,0,1685.6,1380.8,0,642.5,5,5,0,5,0,0,0,2,0,1,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,16,0,0,2,1,0,3,3,0,3,0,0,4,0,0,1,1,0,3,1928,2023,10,2,21,,,,,,
10981,42045408102,12-Dec,68,13,1399,1604,0,1369.5,918,0,1242.13,1,17,0,8,3,0,0,3,0,4,10,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,4,0,0,6,0,0,0,0,0,1,0,0,4,1480,2160,25,0,17,,,,,,
10982,42045408103,12-Dec,351,136,1746,1292.02,0,504,1073.31,0,928.86,51,45,0,12,1,0,12,2,0,0,29,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,0,0,0,22,9,0,4,8,0,6,22,0,6,0,0,2,0,0,1,12,0,3,2233,2002,57,2,73,,,,,,
