_id,geo_id_tract,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,42003260700,19,26,24,23,23,28,20,24,19,21
88,42003260900,1,0,2,1,0,1,0,0,1,1
89,42003261200,11,14,11,10,17,21,21,8,15,16
90,42003261400,33,24,25,25,27,28,19,17,19,21
91,42003261500,17,10,14,18,11,23,18,13,16,15
92,42003262000,22,29,21,33,23,35,35,21,17,21
93,42003270100,40,53,34,46,34,52,48,31,25,33
94,42003270300,21,33,27,20,34,26,24,31,13,15
95,42003270400,23,26,21,15,12,11,9,13,11,13
96,42003270800,38,36,59,43,36,58,38,46,35,26
97,42003271500,48,50,40,50,54,49,43,43,59,39
98,42003281400,17,20,29,25,20,32,28,21,29,30
99,42003281500,24,22,22,15,13,25,35,22,18,22
100,42003290100,26,34,33,21,33,32,28,33,21,27
101,42003290200,54,62,41,56,39,47,58,46,56,67
102,42003290400,50,69,63,60,49,62,71,43,55,41
103,42003300100,61,50,35,50,36,53,57,46,48,71
104,42003310200,38,48,28,41,49,44,43,43,47,46
105,42003310300,8,12,6,8,12,7,4,8,12,9
106,42003320400,28,24,23,25,35,27,21,19,20,24
107,42003320600,25,50,26,41,50,46,52,34,22,34
108,42003320700,17,25,25,23,20,22,27,13,25,14
109,42003401100,67,73,73,70,67,83,72,58,54,65
110,42003401200,36,35,22,32,38,34,29,26,33,44
111,42003401300,48,41,36,49,42,50,52,54,43,42
112,42003402000,36,40,35,35,49,35,47,43,42,44
113,42003403500,35,42,40,44,43,47,72,45,32,52
114,42003404000,20,19,15,22,16,22,24,17,22,19
115,42003405000,7,11,15,12,8,15,7,10,5,8
116,42003406000,12,18,15,14,15,19,16,15,26,15
117,42003407001,60,73,71,58,62,52,57,46,37,33
118,42003407002,81,75,70,68,116,91,91,68,60,57
119,42003408001,137,129,84,113,91,56,57,49,67,58
120,42003408002,88,100,92,85,97,91,90,70,63,70
121,42003409000,341,365,266,325,274,301,255,194,214,195
122,42003410000,26,24,19,14,19,15,19,20,19,17
123,42003411000,149,163,188,182,200,148,163,109,111,108
124,42003412001,132,229,185,184,129,115,132,100,101,102
125,42003412002,113,58,60,69,57,90,103,50,63,37
126,42003413100,72,88,54,81,80,78,72,54,52,53
127,42003413201,51,48,48,52,35,51,54,44,39,39
128,42003413202,35,42,37,40,29,30,43,23,24,23
129,42003413300,61,64,65,53,56,53,59,45,54,44
130,42003413400,62,79,57,57,56,55,70,42,53,36
131,42003413500,43,76,88,75,66,60,72,54,63,52
