_id,TRACT,2012
168,42003430200,9
169,42003431100,47
170,42003431400,17
171,42003431500,47
172,42003432300,21
173,42003432400,23
174,42003434000,8
175,42003435000,4
176,42003437000,1
177,42003439000,0
178,42003445500,3
179,42003446000,1
180,42003447000,1
181,42003448000,2
182,42003449000,2
183,42003450700,8
184,42003450800,11
185,42003451101,0
186,42003451102,25
187,42003451104,0
188,42003451105,6
189,42003451300,8
190,42003452000,12
191,42003453003,0
192,42003453004,2
193,42003455000,2
194,42003456001,2
195,42003456003,2
196,42003456004,2
197,42003457100,2
198,42003457200,50
199,42003458000,4
200,42003459101,0
201,42003459102,0
202,42003459201,7
203,42003459202,0
204,42003460001,0
205,42003460002,4
206,42003461000,2
207,42003462100,72
208,42003462600,107
209,42003463900,113
210,42003464300,46
211,42003464400,131
212,42003465600,5
213,42003465800,8
214,42003468700,10
215,42003468800,13
216,42003468900,26
217,42003469000,2
218,42003470300,1
219,42003470400,0
220,42003470501,1
221,42003470502,9
222,42003470600,7
223,42003471000,2
224,42003472100,10
225,42003472200,5
226,42003472300,13
227,42003472400,3
228,42003473100,13
229,42003473200,26
230,42003473300,4
231,42003473401,19
232,42003473402,0
233,42003473500,0
234,42003473601,0
235,42003473602,26
236,42003474101,0
237,42003474102,1
238,42003474201,0
239,42003474202,0
240,42003474203,1
241,42003475101,8
242,42003475102,0
243,42003475200,0
244,42003475301,8
245,42003475303,1
246,42003475304,0
247,42003475401,0
248,42003475402,0
249,42003476100,33
250,42003476200,3
251,42003477100,2
252,42003477200,0
253,42003477300,40
254,42003478100,38
255,42003478200,33
256,42003479000,3
257,42003480101,136
258,42003480102,6
259,42003480200,2
260,42003480300,1
261,42003480400,19
262,42003481000,193
263,42003482500,30
264,42003483800,164
265,42003484300,84
266,42003484500,15
267,42003484600,47
268,42003485000,6
269,42003486700,87
270,42003486800,97
271,42003486900,80
272,42003487000,10
273,42003488100,13
274,42003488200,11
275,42003488300,3
276,42003488400,19
277,42003488500,3
278,42003488600,4
279,42003489001,0
280,42003489002,21
281,42003490002,23
282,42003490003,3
283,42003490004,0
284,42003491101,4
285,42003491200,4
286,42003492700,38
287,42003492800,99
288,42003492900,87
289,42003494000,6
290,42003495000,2
291,42003496101,0
292,42003496102,1
293,42003496200,8
294,42003497000,1
295,42003498000,11
296,42003499300,6
297,42003499400,46
298,42003500300,22
299,42003501000,24
300,42003503002,29
301,42003504100,42
302,42003507000,32
303,42003508000,103
304,42003509400,139
305,42003510000,92
306,42003512000,54
307,42003512800,53
308,42003512900,75
309,42003513800,131
310,42003514000,42
311,42003515100,181
312,42003515200,64
313,42003515300,71
314,42003515401,18
315,42003516100,3
316,42003516200,9
317,42003517000,9
318,42003518001,2
319,42003519000,0
320,42003520001,7
321,42003520002,26
322,42003521100,3
323,42003521200,12
324,42003521301,28
325,42003521302,23
326,42003521401,1
327,42003521402,4
328,42003521500,3
329,42003522000,120
330,42003523100,86
331,42003523200,115
332,42003523300,27
333,42003523400,53
334,42003523501,65
335,42003523502,25
336,42003523600,18
337,42003523701,7
338,42003523702,41
339,42003523800,16
340,42003524000,36
341,42003525100,1
342,42003525200,2
343,42003525300,8
344,42003526101,3
345,42003526102,0
346,42003526201,3
347,42003526202,6
348,42003526301,0
349,42003526302,0
350,42003550900,63
351,42003551200,87
352,42003551300,29
353,42003551900,15
354,42003552000,132
