_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
81,1885274692,13,563616731,2019/12/12,2019/12/24,4548,,,StatTrak,,,28,,32,35,-79.91541,40.47216898,Highland Park,7,11,42003110600,2,11,5,9-3月
82,1890248654,182,414168419,2019/9/9,2019/9/17,1410,,11,StatTrak,25,,18,1,20,22,-80.01451118,40.48540243,Perry North,1,26,42003260700,1,26,1,15-1月
83,1892724639,206,1551520471,2019/11/14,2019/11/22,2450,,3,StatTrak,25,,25,43,29,32,-79.93147351,40.4350968,Squirrel Hill South,5,14,42003141300,3,14,4,21-2月
84,1901404544,124,1353107740,2019/7/9,,,,,Intersection Study,,,,,,,-79.96308762,40.46819844,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3月
85,1909253901,200,382287114,2019/11/4,2019/11/13,416,,3,StatTrak,25,,22,21,27,30,-79.93259811,40.44978768,Shadyside,8,7,42003070300,2,7,4,22-3月
86,1910901085,211,1129909123,2019/6/11,2019/6/11,,954,Tuesday SPC video count,,,,,,,,-79.9619266,40.42706242,South Side Flats,3,16,42003160900,3,16,3,24-4月
87,1920331937,57,951153209,2019/1/24,2019/1/27,5151,,,StatTrak,25,,30,82,36,40,-79.91268541,40.46014717,Larimer,9,12,42003120800,2,12,5,10-3月
88,1922660255,104,,,,,,,,,,,,,,-79.91220792,40.44320727,Point Breeze,9,14,42003981100,3,14,4,18-2月
89,1927765267,220,2128886737,2019/12/12,2019/12/24,4550,,3,StatTrak,25,,28,77,32,35,-79.95546822,40.44952206,North Oakland,8,4,42003562000,3,4,4,7-2月
90,1931690242,95,670720124,2019/5/16,2019/5/28,,,3,StatTrak,25,,,,,,-79.99753526,40.38585034,Overbrook,4,32,42003320700,5,32,3,25-4月
91,193365102,152,1397392243,2018/4/5,,,,,Intersection Study,,,,,,,-79.9173396,40.45747705,Larimer,9,12,42003120800,2,12,5,13-3月
92,1937275532,15,1524870004,2018/10/18,2018/11/8,,88,,Tube,,,,,,,-79.95222986,40.44355804,North Oakland,8,4,42003982200,3,4,4,8-2月
93,1944653312,214,,,,,,,,,,,,,,-79.92723824,40.41953524,Greenfield,5,15,42003151700,3,15,4,12-2月
94,1949792833,34,423973251,2019/4/19,2019/4/26,13788,,5,StatTrak,25,,38,98,45,50,-79.87884462,40.45609866,East Hills,9,13,42003130600,2,13,5,17-3月
95,1950996584,167,1709615411,2019/8/1,2019/8/9,5831,,1,StatTrak,25,,25,48,30,33,-80.01896038,40.43810096,Duquesne Heights,2,19,42003191100,5,19,3,1-4月
96,1962477925,185,1815733444,2019/9/9,2019/9/17,1468,,5,StatTrak,25,,21,21,27,32,-80.02168961,40.39386195,Brookline,4,19,42003191800,5,19,6,26-4月
97,1970919677,51,152378178,2018/12/28,2019/1/10,5787,,11,StatTrak,25,,28,68,32,36,-79.92516869,40.4710773,East Liberty,9,11,42003111300,2,11,5,9-3月
98,197297885,44,1074767029,2018/12/11,2018/12/20,4301,,1,StatTrak,25,61,27,60,32,36,,,Mount Washington,2,19,42003190300,5,19,3,1-4月
99,1978276806,35,1470358683,,,,,,StatTrak,,,,,,,-79.89508807,40.46746757,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,18-3月
100,1991312704,109,1227701093,2019/6/14,2019/6/24,3304,,,StatTrak,25,,,60,31,35,-80.05406427,40.45416573,Sheraden,2,20,42003562500,5,20,6,16-1月
101,1999344253,30,869081196,,,,,,StatTrak,,,,,,,-80.03886571,40.43751249,Elliott,2,20,42003562600,5,20,6,17-1月
102,1999971120,28,821675395,2018/11/20,2018/11/29,1802,,1,StatTrak,25,60,28,71,32,35,-79.93023611,40.48119172,Morningside,7,10,42003101400,2,10,5,7-3月
103,2010535291,32,349231465,2019/10/21,2019/10/29,1049,,1,StatTrak,25,,21,15,25,29,-79.95893404,40.45986096,Polish Hill,7,6,42003060500,6,6,2,6-2月
104,2010764703,112,337528599,2019/6/28,2019/7/5,7579,,12,StatTrak,35,,34,40,39,43,-79.95056556,40.45414752,North Oakland,6,5,42003562000,3,5,4,23-2月
105,2036930509,69,1766709460,2019/2/14,2019/2/19,7621,,6,StatTrak,25,,26,,32,37,-79.94232312,40.44625098,Squirrel Hill North,8,14,42003140100,3,14,4,26-2月
106,2043200367,19,198025605,2018/9/21,2018/10/17,,,,Tube,,,,,,,-80.00353171,40.43277645,South Shore,3,19,42003980700,5,19,3,2-4月
107,2049722358,5,788509482,2018/10/17,2018/10/29,4015,,,StatTrak,25,56,29,81,33,36,-80.01367658,40.43088376,Mount Washington,2,19,42003190300,5,19,3,1-4月
108,2051810147,215,,,,,,,,,,,,,,-79.9714485,40.45971601,Strip District,7,6,42003020300,6,6,2,2-3月
109,2081817713,16,1173781973,2018/10/18,2018/11/8,3580,,,Tube,,,,,,,-79.94878377,40.44199223,North Oakland,8,4,42003982200,3,4,4,8-2月
110,2101056227,39,390219700,2018/6/25,2018/7/11,5327,,,StatTrak,25,49,21,10,24,28,-79.91887807,40.47948497,Highland Park,7,11,42003980100,2,11,5,9-3月
111,2105934554,170,537629304,2019/8/1,2019/8/9,9075,,4,StatTrak,25,,32,91,37,40,-80.00697132,40.42044846,Mount Washington,2,19,42003191500,5,19,3,16-4月
112,2140403077,89,1958633037,,,16711,,,StatTrak,25,,34,90,41,45,-79.98250998,40.45106102,Strip District,7,2,42003020300,6,2,2,3-2月
113,2144656649,145,,,,,,,,,,,,,,-80.02346881,40.41684574,Beechview,4,19,42003191600,5,19,6,28-4月
114,2146294802,194,1598450025,2019/12/12,2019/12/24,5015,,4,StatTrak,25,,32,94,36,39,-79.91097942,40.43563381,Squirrel Hill South,5,14,42003140800,3,14,4,21-2月
115,227010728,90,1841997569,2019/1/14,2019/1/22,2305,,,StatTrak,25,,19,6,23,25,-79.99886586,40.43812771,Central Business District,6,1,42003020100,6,1,2,4-1月
