tract,pop_total,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus,edu_hsplus,edu_bachelorsplus,movedin_last_decade,unemployed,income_household_mean,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino,households_avg_size
42003473402,3729,3.6,4.7,8.7,8.4,2.3,4.4,5.0,10.1,5.4,7.6,6.8,9.7,5.8,3.4,5.7,4.9,2.4,1.1,98.8,68.1,41.3,6.5,129215,94.9,0.7,2.3,0.5,2.45
42003473500,3737,6.3,9.3,8.8,6.5,3.3,1.4,8.2,4.4,6.5,9.7,9.2,6.5,5.6,4.1,3.6,2.4,3.0,1.4,98.5,74.4,50.3,3.6,149272,92.7,0.8,3.2,2.0,2.79
42003473601,4060,4.4,6.4,5.5,8.7,4.0,2.7,4.7,5.0,5.8,7.5,11.0,5.3,4.4,6.4,3.2,5.0,2.2,8.0,96.8,69.5,42.8,4.2,131241,91.8,2.0,5.0,1.4,2.44
42003473602,4715,5.9,4.9,6.3,5.9,1.6,2.0,3.2,8.0,4.2,9.0,7.8,6.5,6.2,5.3,4.8,5.6,4.9,8.0,98.4,56.2,36.6,4.3,127250,86.5,1.0,6.0,6.9,2.20
42003474101,3646,7.0,7.7,8.0,6.2,4.1,3.9,7.2,4.0,8.7,8.3,9.2,10.6,4.1,4.1,1.7,1.0,1.5,2.6,99.3,63.1,36.1,4.5,139378,94.7,0.5,3.0,4.2,2.80
42003474102,3760,3.6,7.3,10.7,8.6,3.5,1.6,4.3,5.0,5.8,9.7,8.0,8.4,6.6,6.0,1.4,4.0,3.4,2.2,99.6,73.3,46.5,3.6,163120,96.8,0.0,2.5,3.9,2.86
42003474201,2635,3.7,7.0,9.0,11.1,3.5,1.4,3.0,6.0,7.7,3.8,11.2,8.8,8.0,6.8,3.2,1.6,2.5,1.8,97.6,74.4,36.7,8.1,150970,93.7,0.0,5.8,0.0,2.90
42003474202,4752,5.5,5.6,8.6,6.9,2.3,1.1,3.0,4.9,6.6,8.1,8.8,8.6,6.3,4.8,3.4,4.0,2.9,8.6,98.4,65.6,40.6,8.4,128661,92.6,0.5,4.8,2.1,2.53
42003474203,4440,4.2,7.7,8.3,8.0,3.3,3.5,4.5,4.8,9.5,8.4,10.5,6.9,7.9,6.0,2.4,1.5,2.0,0.7,98.9,70.1,32.3,6.9,141245,91.5,0.5,6.5,0.8,2.86
42003475101,4454,4.5,4.4,3.6,3.8,4.7,4.1,6.3,3.7,4.4,6.6,6.0,11.1,6.4,6.6,3.9,7.2,5.5,7.0,93.6,47.6,46.2,6.9,66165,97.7,1.3,0.2,2.0,2.07
42003475102,1624,2.6,3.9,7.1,6.8,8.5,0.8,5.9,4.7,6.0,9.9,16.6,3.5,3.5,5.5,2.5,5.1,2.5,4.5,95.8,42.3,29.8,4.9,90650,98.5,0.0,1.3,0.0,2.56
42003475200,4973,6.5,6.4,6.4,5.1,4.3,3.7,6.7,4.5,7.6,5.4,8.2,9.5,5.7,5.8,4.1,5.6,2.0,2.6,96.4,41.7,31.9,7.1,81853,94.9,0.0,1.3,0.8,2.67
42003475301,4469,3.8,9.0,4.4,3.8,2.0,7.5,6.8,6.4,7.2,3.5,10.9,3.6,8.7,4.4,4.6,5.3,6.0,1.9,94.0,32.8,43.6,12.7,60680,89.9,7.6,2.1,0.4,2.18
42003475303,4132,5.0,5.2,5.6,6.7,5.5,5.1,5.8,6.0,4.4,9.7,6.6,7.5,8.0,4.4,5.1,4.8,2.5,2.1,96.4,50.3,35.3,8.8,95336,97.6,0.0,1.9,0.5,2.71
42003475304,5574,3.0,5.1,10.0,7.6,4.8,4.8,3.1,4.2,10.3,9.0,13.5,7.3,6.2,4.6,1.9,0.9,2.3,1.4,98.5,54.7,44.4,5.2,90726,94.6,1.3,2.7,0.3,2.50
42003475401,3913,5.1,8.1,6.1,5.1,3.0,3.1,4.8,8.1,5.8,7.4,6.6,8.1,5.6,5.5,5.9,3.5,5.0,3.2,93.3,36.8,32.0,2.2,85212,95.7,0.2,1.5,1.1,2.56
42003475402,3146,5.3,4.3,7.2,8.6,5.4,6.2,4.3,5.8,5.0,9.2,10.4,7.2,5.5,4.3,3.5,1.5,4.0,2.4,97.2,45.5,36.2,2.0,95223,99.5,0.2,0.0,1.7,2.72
42003476100,4945,5.5,2.3,4.1,5.4,7.5,13.2,5.2,6.9,5.4,7.0,6.7,6.5,5.7,6.1,3.9,4.6,3.4,0.7,89.0,27.2,48.1,5.6,54086,88.6,2.1,5.0,0.7,2.06
42003476200,3356,7.1,4.1,5.4,3.9,6.0,5.1,7.0,5.7,5.6,8.3,11.0,7.4,4.0,4.6,2.7,5.0,3.9,3.2,93.8,28.6,33.8,3.6,66658,97.7,0.0,0.0,0.9,2.44
42003477100,3825,7.1,4.5,2.9,5.2,5.4,5.0,5.4,6.9,6.3,8.2,7.9,4.7,6.7,7.0,4.9,3.1,4.4,4.5,94.3,33.7,42.5,3.7,72421,97.6,0.0,1.8,0.2,2.29
42003477200,4354,5.2,5.3,4.4,6.9,2.8,4.4,5.5,5.0,4.9,7.7,6.2,6.4,6.8,4.3,4.6,6.2,6.4,7.1,92.3,34.5,43.5,3.8,70010,95.3,0.4,3.7,1.1,2.29
42003477300,5753,4.5,7.1,5.8,7.1,4.7,6.7,6.0,5.8,8.7,5.4,8.5,6.3,7.6,4.7,2.6,2.3,2.3,4.2,90.0,30.6,42.5,4.2,56509,82.6,7.9,8.4,0.6,2.11
42003478100,4461,4.0,6.4,4.6,2.8,10.2,10.2,7.2,7.3,4.8,5.6,7.0,9.0,4.6,4.1,2.0,4.7,3.0,2.6,96.0,26.0,47.3,8.1,50709,90.2,3.7,2.5,1.5,2.18
42003478200,5187,4.7,6.4,3.1,5.4,8.0,6.2,6.5,7.6,8.0,8.0,10.3,7.2,5.0,3.9,3.7,2.9,1.0,2.0,92.1,24.8,40.4,5.4,59539,96.0,1.9,1.7,4.6,2.27
42003479000,1948,5.8,5.8,4.7,3.3,4.1,8.0,6.2,6.7,6.3,7.1,8.7,8.4,8.8,3.7,4.9,2.8,3.4,1.4,94.7,28.5,35.3,7.1,76255,98.8,0.0,0.0,0.6,2.32
42003480101,5112,10.1,5.0,7.8,8.3,4.1,5.8,6.5,7.1,5.4,3.2,6.1,7.2,5.8,3.9,5.2,0.6,2.2,5.6,86.3,20.9,46.7,13.6,51807,65.1,19.5,7.4,2.2,2.39
42003480102,3191,5.9,5.2,5.4,4.8,6.0,4.0,8.9,3.4,4.9,4.2,11.1,9.2,3.9,5.2,5.8,7.0,3.7,1.4,95.7,16.0,30.5,4.4,60114,94.8,5.0,0.0,0.8,2.43
42003480200,3218,4.1,6.7,5.3,5.5,3.9,4.9,4.3,5.0,7.3,9.2,11.4,8.5,6.4,5.3,3.9,5.0,2.1,1.4,93.8,29.4,33.7,6.2,66953,97.5,2.0,0.0,1.1,2.31
42003480300,3348,4.9,6.6,5.2,8.4,4.9,4.7,5.9,7.9,6.8,5.7,9.3,6.4,5.9,4.3,2.8,4.6,2.1,3.4,93.6,23.6,31.3,7.5,72991,98.2,0.3,0.6,0.7,2.48
42003480400,4854,2.4,5.0,4.1,4.6,5.7,6.2,5.4,6.0,6.1,5.4,10.7,10.1,6.2,4.9,4.9,3.3,5.3,3.7,93.4,23.4,27.0,8.6,58492,94.8,4.9,0.0,0.0,2.22
42003481000,3425,4.9,10.1,7.9,5.5,7.5,6.9,10.1,3.6,3.9,6.0,8.5,6.9,7.3,4.0,3.4,1.6,1.5,0.4,76.0,10.4,47.4,12.6,37285,60.2,28.1,7.4,2.1,2.26
42003482500,1832,4.4,2.5,3.8,9.6,4.2,4.8,4.0,5.6,5.1,5.8,11.4,6.0,7.1,9.3,4.1,3.9,5.3,3.3,91.3,21.4,19.9,15.9,55348,85.2,13.4,0.0,0.2,2.32
42003483800,3173,8.8,8.7,4.3,3.8,7.2,5.0,9.0,3.2,5.1,9.5,5.2,5.0,5.7,4.3,3.9,3.8,4.4,2.8,90.0,23.2,57.3,8.5,42696,29.9,66.8,0.0,0.0,2.13
42003484300,2948,9.8,1.3,2.8,5.0,4.7,10.3,5.9,7.9,5.5,6.4,10.8,5.7,7.7,4.2,2.6,2.9,3.6,2.8,87.3,24.4,40.9,6.7,45377,76.2,15.9,6.3,0.8,1.86
42003484500,6042,4.0,4.8,4.9,5.3,7.6,5.2,3.0,5.5,6.9,8.1,7.6,10.8,5.7,4.0,4.0,4.8,3.4,4.3,93.7,23.3,29.5,5.9,57645,98.2,0.0,0.0,1.3,2.25
42003484600,2415,8.3,2.9,5.5,3.6,7.8,6.9,6.3,2.7,4.1,7.7,7.2,9.6,5.1,5.1,3.9,3.2,4.9,5.3,88.7,15.7,37.1,7.7,54462,88.5,3.5,0.5,1.0,2.21
42003485000,1299,4.2,4.0,8.4,6.9,6.9,4.7,4.8,7.2,5.7,14.3,4.7,6.8,4.3,6.9,4.0,2.1,1.8,2.4,87.6,11.3,35.0,8.6,46226,88.5,10.6,0.0,0.9,2.32
42003486700,2710,14.1,4.1,2.9,10.3,8.9,7.1,3.6,4.3,3.8,7.5,7.6,9.3,3.2,5.2,2.8,1.6,1.8,1.9,93.3,6.7,56.5,23.0,26382,33.4,57.3,0.0,0.7,2.07
42003486800,1648,3.1,6.9,7.0,8.3,4.1,2.7,3.9,3.0,10.7,5.0,16.1,6.5,4.6,2.1,5.6,2.4,3.6,4.4,88.2,6.2,25.6,21.3,35776,41.8,54.4,0.4,0.8,2.33
42003486900,1281,5.6,12.3,9.2,3.4,4.5,11.2,0.8,2.7,3.9,4.6,9.1,10.6,4.4,1.7,4.9,1.7,5.5,3.8,84.0,18.5,33.1,19.7,33139,38.6,58.9,0.0,4.1,2.24
42003487000,1859,3.6,6.5,4.7,5.0,4.7,5.4,4.5,6.5,6.0,4.8,6.8,13.2,8.8,6.3,3.6,4.2,2.9,2.4,90.7,15.1,36.2,9.3,48481,98.8,0.0,0.0,2.6,2.17
42003488100,2329,9.4,3.4,10.9,8.3,3.0,3.3,7.1,5.3,4.9,6.5,9.7,5.0,4.9,3.0,4.0,1.2,2.7,7.3,90.3,19.7,35.0,9.7,49602,85.5,13.6,0.0,0.0,2.54
42003488200,3737,6.0,6.0,4.5,9.6,8.7,8.8,5.4,4.2,4.3,8.1,7.3,4.4,6.1,4.2,4.1,3.3,2.3,2.7,90.1,17.6,43.8,8.5,52210,69.0,29.0,0.2,0.7,2.53
42003488300,2135,4.0,4.4,7.8,6.6,4.4,5.3,3.6,6.4,4.1,6.7,13.0,4.1,6.6,7.9,5.1,3.2,2.7,4.2,92.2,25.0,30.3,7.3,57423,94.7,1.8,1.3,4.0,2.37
42003488400,4612,2.2,5.7,8.3,10.5,4.0,4.9,6.8,6.4,6.5,6.4,8.7,4.0,8.7,3.4,4.1,3.1,4.0,2.2,93.9,14.3,37.5,9.0,51183,90.7,7.1,0.0,0.8,2.43
42003488500,2972,4.2,5.7,5.2,8.2,6.2,7.7,4.9,4.5,8.1,5.6,7.1,8.9,7.0,4.9,1.5,4.0,4.1,2.1,94.9,18.6,25.5,6.0,59875,94.5,2.6,0.0,0.6,2.33
42003488600,4550,5.4,3.4,4.9,5.7,5.9,3.1,3.7,5.0,6.3,7.3,11.3,8.2,7.5,6.7,4.0,2.4,2.4,6.7,92.0,20.7,26.1,10.7,57557,93.1,5.1,0.0,0.5,2.31
42003489001,4549,3.6,6.3,4.4,3.8,4.6,5.6,4.9,5.8,5.4,4.7,10.3,8.0,5.2,5.4,5.7,4.2,3.3,8.9,93.2,38.8,42.4,5.1,64664,96.0,1.2,2.7,0.0,2.26
42003489002,3722,4.5,5.4,4.9,7.4,5.3,5.6,6.3,2.8,7.7,8.8,10.7,6.5,7.3,4.3,4.2,3.8,2.8,1.8,98.4,40.9,36.2,3.8,86790,95.9,0.8,2.6,0.3,2.53
42003490002,5065,3.6,7.6,4.3,6.4,4.5,9.5,3.4,5.8,8.7,7.9,7.5,9.9,5.6,5.2,2.1,1.2,3.3,3.6,92.3,25.7,29.7,3.6,62836,92.9,5.8,0.9,0.1,2.34
42003490003,3569,4.8,3.6,5.7,9.5,5.2,7.5,5.5,8.0,4.5,9.3,8.1,7.8,6.9,3.1,4.2,1.8,3.1,1.7,93.9,35.4,36.8,8.3,80265,94.2,0.8,3.8,0.2,2.58
42003490004,4820,5.9,8.7,6.0,5.7,5.3,3.9,4.8,5.6,7.3,9.3,10.3,7.9,8.3,3.9,2.7,0.6,2.3,1.3,93.6,35.7,30.9,6.7,81783,96.8,3.1,0.1,1.6,2.60
42003491101,6152,7.6,5.9,4.2,6.4,5.8,5.7,4.4,6.8,6.9,7.2,7.9,9.4,6.5,4.6,3.6,4.1,1.9,1.1,94.8,48.7,51.0,3.0,107884,96.4,2.6,0.6,1.0,2.60
42003491200,2009,1.7,4.1,5.5,6.3,2.7,7.5,6.7,4.0,9.5,9.5,11.0,7.6,5.5,2.5,4.5,1.7,2.9,6.7,95.7,27.8,40.5,6.9,66223,97.5,0.5,1.4,0.3,2.11
42003492700,2129,5.2,4.7,5.4,4.2,11.6,6.2,6.3,3.9,3.1,9.8,7.2,5.8,2.7,6.2,6.3,3.3,3.5,4.5,88.5,11.9,41.2,10.9,39785,76.4,21.5,0.0,2.4,2.12
42003492800,2497,3.6,4.1,5.0,8.8,11.4,3.2,4.1,2.6,4.2,9.2,10.0,6.1,8.4,4.0,3.6,3.0,6.0,2.7,85.8,11.0,47.8,24.2,36184,36.5,53.3,0.0,0.5,2.07
42003492900,2228,7.7,9.6,2.8,3.5,2.6,11.3,4.8,6.3,6.1,3.3,9.8,7.2,7.8,3.4,5.3,3.0,1.9,3.7,92.0,12.8,43.7,11.7,41282,71.9,19.6,0.6,3.5,2.02
42003494000,1514,6.3,6.1,7.1,5.4,4.6,6.5,4.9,8.5,4.3,8.0,6.5,9.6,6.5,3.3,2.8,2.1,3.7,3.9,90.2,13.0,42.7,10.8,46197,95.6,0.8,0.0,1.1,2.21
42003495000,3391,5.2,6.8,6.5,4.2,3.7,3.5,4.7,6.0,9.3,4.0,9.2,5.7,9.6,6.6,5.0,3.2,2.8,3.9,91.5,13.1,36.4,8.5,58026,96.9,2.1,0.0,2.7,2.38
42003496101,3025,7.0,5.1,5.0,2.8,2.8,8.6,6.4,5.0,6.0,4.5,8.7,14.3,7.3,4.2,3.6,3.1,2.7,2.8,95.2,31.1,33.0,4.0,74284,98.9,0.5,0.2,0.0,2.59
42003496102,4534,4.9,5.4,5.3,4.6,5.6,3.8,5.8,4.0,8.2,6.3,5.8,10.9,7.1,7.2,5.1,4.0,3.1,3.0,95.5,25.5,33.2,10.0,70399,96.2,1.1,0.3,0.5,2.53
42003496200,5715,2.2,7.5,6.6,5.5,6.9,6.4,5.2,5.3,7.5,7.3,7.3,5.7,7.5,4.9,3.5,2.9,4.2,3.7,96.2,24.6,38.6,9.3,62379,98.2,1.4,0.0,1.2,2.30
42003497000,977,1.8,4.5,10.5,4.7,3.8,3.8,3.5,4.8,6.7,11.1,8.1,7.6,8.6,6.2,3.1,3.9,4.7,2.7,88.2,13.0,26.8,6.9,55064,96.9,2.5,0.0,2.6,2.37
42003498000,2549,4.0,6.2,5.0,6.8,4.9,6.0,4.7,8.0,5.9,6.5,8.8,9.1,4.9,4.0,3.8,3.3,3.1,4.9,92.5,13.5,31.2,7.7,59735,95.8,4.0,0.0,0.4,2.46
42003499300,1509,3.3,4.5,4.0,5.1,5.7,4.8,3.8,6.8,6.8,10.1,6.9,12.5,7.0,5.8,4.6,3.0,2.4,2.9,89.8,20.6,32.4,5.5,54055,100.0,0.0,0.0,0.0,2.17
42003499400,2986,3.2,3.6,4.8,10.8,6.1,8.3,2.2,9.4,5.4,8.8,9.7,7.4,6.8,1.9,3.4,2.5,2.8,2.9,84.8,9.4,48.6,16.6,37222,91.5,3.2,1.4,1.8,2.20
42003500300,3805,3.0,4.7,5.5,3.4,4.7,3.9,7.4,5.9,5.6,11.7,9.0,7.2,7.5,6.8,4.6,4.0,3.2,2.0,93.7,12.1,33.9,8.4,52580,99.6,0.2,0.0,0.3,2.14
42003501000,1581,6.2,5.2,3.9,3.4,6.1,5.0,4.8,5.2,9.2,6.8,8.9,5.6,5.2,4.5,5.4,5.1,5.1,4.2,87.2,13.4,37.8,12.6,44086,91.1,5.6,1.3,1.1,2.05
