tract,mar_married,mar_divorced,mar_never
Geography,Now married (except separated)!!Estimate!!Population 15 years and over,Divorced!!Estimate!!Population 15 years and over,Never married!!Estimate!!Population 15 years and over
42003512900,16.2,5.0,69.9
42003513800,17.4,12.8,60.1
42003514000,20.1,15.9,52.6
42003515100,26.9,15.2,46.6
42003515200,32.1,16.7,46.6
42003515300,21.2,16.3,50.1
42003515401,47.4,8.1,37.2
42003516100,57.3,10.8,21.6
42003516200,51.2,4.8,37.7
42003517000,37.6,15.0,30.4
42003518001,57.2,9.3,24.5
42003519000,61.7,7.8,23.2
42003520001,46.3,12.4,29.1
42003520002,46.0,9.4,31.3
42003521100,56.7,7.0,26.2
42003521200,48.3,6.4,35.0
42003521301,42.6,9.4,32.2
42003521302,49.9,5.4,34.8
42003521401,53.5,8.4,25.1
42003521402,64.6,4.0,22.8
42003521500,59.3,7.6,25.1
42003522000,37.2,15.4,37.3
42003523100,26.6,11.4,48.3
42003523200,30.9,15.7,40.6
42003523300,48.8,9.6,30.8
42003523400,45.9,9.9,30.6
42003523501,46.0,8.5,33.9
42003523502,45.5,9.6,35.4
42003523600,48.8,14.7,29.4
42003523701,55.2,8.0,25.5
42003523702,39.3,12.5,36.9
42003523800,54.6,7.6,24.3
42003524000,26.4,19.3,40.7
42003525100,58.5,9.9,23.9
42003525200,36.9,9.5,35.4
42003525300,51.5,8.0,28.0
42003526101,60.3,8.3,20.2
42003526102,55.8,6.2,28.1
42003526201,64.5,6.0,23.3
42003526202,55.9,7.5,27.3
42003526301,63.1,6.2,23.3
42003526302,55.3,5.6,30.8
42003550900,23.3,14.7,52.3
42003551200,26.7,16.0,43.2
42003551300,39.9,9.0,35.5
42003551900,20.7,18.8,53.5
42003552000,30.2,14.0,40.7
42003552100,7.1,15.0,43.8
42003552200,30.2,22.0,33.3
42003552300,22.2,8.0,52.1
42003552400,43.3,7.4,32.5
42003560400,9.1,23.7,59.2
42003560500,34.8,12.6,46.5
42003560600,30.8,17.9,40.5
42003561000,19.5,14.7,55.7
42003561100,16.8,16.8,46.1
42003561200,21.0,7.0,58.1
42003561400,24.5,16.7,41.4
42003561500,27.4,14.7,46.6
42003561600,29.1,7.7,47.6
42003561700,26.6,9.5,53.9
42003561900,21.9,14.2,45.7
42003562000,19.1,5.2,66.7
42003562300,35.6,8.7,42.7
42003562400,40.1,8.8,34.6
42003562500,24.5,13.3,52.2
42003562600,32.5,8.4,47.1
42003562700,32.2,6.8,54.4
42003562800,36.8,15.4,32.6
42003562900,34.3,14.0,41.4
42003563000,37.4,7.9,40.1
42003563100,45.0,8.5,34.0
42003563200,24.8,12.8,45.3
42003563300,60.5,3.3,27.8
42003563800,57.2,9.7,16.4
42003563900,49.0,8.7,28.6
42003564000,57.8,8.4,23.9
42003564100,66.5,5.9,21.3
42003564200,47.7,11.9,24.9
42003564400,50.9,13.1,25.8
42003564500,52.4,16.1,23.6
42003980000,27.9,45.3,22.1
42003980300,0.0,100.0,0.0
42003980400,0.0,45.5,50.0
42003980500,0.0,43.5,56.5
42003980700,50.0,0.0,50.0
42003980900,8.4,12.1,76.5
42003981000,100.0,0.0,0.0
42003981800,12.5,11.9,61.3
42003982200,0.4,0.1,99.5
