tract,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
42003417200,4.1,4.7,4.6,4.8,5.7,10.4,6.5,7.2,1.4,5.9,4.6,9.0,7.8,10.5,6.6,1.8,2.0,2.4
42003418000,3.1,2.8,3.7,3.7,4.1,8.6,7.1,3.4,5.3,10.9,6.6,6.9,6.6,9.6,6.6,2.7,3.1,5.1
42003419000,6.2,2.6,3.4,1.6,2.3,2.3,10.8,5.0,3.9,2.9,6.1,9.2,9.7,7.7,9.6,6.2,4.5,6.1
42003420000,5.1,6.6,4.1,1.5,2.3,4.2,7.7,6.0,4.7,9.2,4.2,10.4,6.2,7.3,7.7,4.0,5.6,3.2
42003421100,8.2,5.7,6.0,4.6,2.3,2.3,5.7,6.6,5.1,5.9,6.3,5.5,8.6,6.4,6.9,4.1,3.1,6.9
42003421200,3.1,6.1,5.8,5.1,5.3,2.0,6.4,7.3,5.7,5.2,5.3,9.0,7.6,10.6,5.8,5.3,2.5,1.9
42003422000,2.6,4.3,12.6,11.5,3.0,1.4,3.4,3.0,5.1,10.9,11.8,7.6,5.8,5.3,4.2,4.2,2.1,1.1
42003423000,12.1,7.5,6.6,1.6,2.0,5.0,12.2,10.7,4.2,6.6,6.9,6.0,4.1,5.9,3.6,2.1,1.5,1.4
42003424000,4.5,1.5,4.5,9.9,4.7,7.0,10.8,5.1,4.7,6.2,7.3,7.4,13.2,4.7,2.6,2.7,1.2,2.2
42003425000,7.0,3.6,6.3,4.2,4.7,4.7,16.8,5.3,3.9,3.7,5.8,7.4,8.3,7.2,3.1,4.2,1.1,2.7
42003426300,6.7,3.6,5.6,4.9,2.1,5.5,7.1,8.4,5.2,5.3,5.9,7.4,7.6,7.9,5.6,5.0,3.0,3.1
42003426400,5.0,3.6,4.4,2.4,4.6,7.3,10.8,8.0,1.6,3.3,9.9,9.5,6.1,10.6,3.2,4.6,2.0,3.2
42003426700,1.9,3.4,5.6,2.5,2.2,8.2,12.9,6.8,4.8,6.5,2.8,10.4,7.0,9.5,4.1,4.8,1.4,5.3
42003426800,5.6,3.2,3.8,5.9,3.2,5.7,3.6,6.0,4.5,5.5,8.5,8.2,8.7,5.9,9.6,4.5,5.3,2.1
42003427000,1.8,3.4,2.8,9.1,7.6,8.4,6.8,5.2,5.4,4.2,10.7,8.3,9.5,7.3,5.7,2.0,0.7,1.1
42003427100,4.8,2.6,6.5,4.5,3.8,5.0,9.9,4.6,5.6,8.6,9.7,7.6,6.5,9.9,3.4,3.4,1.4,2.3
42003427200,5.4,5.2,2.8,3.0,3.0,9.8,7.3,3.1,5.8,9.0,6.2,10.0,5.7,7.3,3.9,7.7,2.7,2.3
42003428100,2.5,0.8,4.7,6.1,2.5,7.6,7.8,4.3,6.9,3.2,8.4,7.6,18.5,5.9,4.3,3.7,2.1,2.8
42003428200,5.5,5.5,4.1,3.5,4.7,6.6,8.4,3.2,9.0,5.2,7.0,11.8,6.3,5.6,3.8,4.1,2.7,3.0
42003429100,4.4,5.5,5.3,3.6,6.1,8.7,7.7,8.2,6.0,5.4,8.6,3.2,6.8,6.1,4.7,3.7,1.6,4.4
42003429201,5.5,5.0,4.3,3.4,3.0,7.2,8.2,5.9,6.5,5.1,3.7,7.7,9.8,8.6,5.4,3.2,2.7,4.8
42003429202,5.6,7.2,6.6,2.2,5.0,4.0,9.1,4.5,7.5,4.7,6.3,7.4,6.5,7.6,6.8,5.1,1.8,1.8
42003429300,11.2,2.4,4.2,4.6,2.4,4.1,10.6,7.5,6.6,5.7,2.1,6.7,7.6,5.9,5.5,3.5,2.8,6.6
42003429400,9.4,3.6,6.0,2.7,3.0,6.5,10.5,4.0,5.4,4.2,7.1,6.7,10.6,7.6,4.4,2.8,2.5,2.8
42003429500,1.5,4.1,3.0,6.1,5.3,8.2,10.7,4.3,5.2,5.0,5.2,7.6,9.6,10.3,8.3,1.3,1.1,3.1
42003429600,8.9,5.9,3.2,2.8,3.5,9.0,9.5,7.5,9.9,5.3,3.3,5.6,6.7,5.8,5.6,2.2,3.6,1.6
42003429700,4.7,3.7,3.2,1.4,5.4,7.0,8.4,3.2,7.0,6.1,4.0,9.9,5.6,6.3,8.6,3.3,6.5,5.8
42003430100,6.6,4.8,2.4,2.9,5.1,13.1,9.7,8.1,9.9,3.4,3.7,6.1,8.6,7.8,2.9,1.7,2.1,1.1
42003430200,5.9,6.6,3.6,5.1,4.6,3.9,8.5,8.3,9.5,6.0,5.5,7.6,8.5,3.9,2.3,4.2,2.6,3.5
42003431100,5.0,2.7,3.1,4.6,5.6,15.8,13.9,5.6,8.1,4.5,3.9,7.2,4.1,8.4,2.4,3.4,0.4,1.3
42003431400,4.6,3.9,6.2,1.6,6.5,8.3,9.6,4.3,12.6,4.8,6.5,8.8,6.9,3.4,3.8,3.7,0.5,4.0
42003431500,1.4,4.7,1.5,0.6,4.8,30.6,10.8,8.3,3.3,2.8,3.0,3.0,9.0,8.7,2.0,1.1,2.2,2.1
42003432300,2.8,4.8,0.4,2.7,5.0,14.6,8.6,9.2,3.4,2.3,1.2,8.0,7.1,5.2,4.5,10.6,4.4,5.0
42003432400,2.2,1.3,3.2,2.9,7.6,13.6,9.4,8.9,8.6,6.2,5.6,7.8,6.5,5.8,3.2,2.9,1.6,2.7
42003434000,6.7,6.4,7.3,4.9,2.0,7.7,9.6,8.5,7.4,5.0,6.1,6.5,5.2,6.3,1.7,7.0,0.9,0.8
42003435000,8.1,3.2,5.9,7.7,3.3,8.7,11.5,7.0,5.1,5.0,4.0,7.0,8.0,5.1,3.3,3.0,1.6,2.4
42003437000,4.7,10.5,7.0,4.4,1.9,5.6,4.4,9.3,8.0,6.3,7.3,7.2,4.6,6.6,3.7,4.6,2.5,1.5
42003439000,5.9,4.6,6.7,7.4,1.3,8.2,6.7,5.2,4.5,4.4,9.4,10.7,8.3,7.3,4.4,2.0,1.3,1.8
42003445500,4.4,6.2,7.4,6.2,6.4,5.3,6.7,4.2,6.7,6.1,10.1,6.9,5.2,4.4,3.0,3.4,3.2,4.1
42003446000,4.5,5.3,8.0,7.6,5.1,1.6,1.8,7.0,5.0,7.5,9.0,9.0,6.9,7.4,4.7,5.4,2.6,1.4
42003447000,10.4,3.6,8.4,6.1,3.6,10.6,7.2,6.9,4.7,6.4,8.0,4.4,5.5,5.2,2.5,3.9,2.1,0.4
42003448000,3.2,6.9,4.8,6.7,2.6,3.3,5.8,7.3,9.4,5.8,7.7,6.0,7.2,7.0,6.2,3.1,5.0,2.1
42003449000,5.1,4.3,6.3,6.0,2.6,11.0,4.7,4.0,4.1,5.0,7.9,9.5,8.3,8.1,4.7,3.1,2.8,2.3
42003450700,5.4,3.4,7.4,2.4,8.4,11.2,9.6,6.3,4.2,4.2,3.0,5.5,5.7,5.7,6.9,5.6,1.5,3.7
42003450800,4.1,5.0,11.8,6.3,3.1,5.0,5.2,11.0,4.8,3.5,4.4,6.4,7.4,8.0,6.4,4.5,2.3,1.0
42003451101,3.8,5.7,3.9,6.0,5.4,2.3,5.7,5.0,7.3,8.6,6.7,8.6,8.4,8.5,6.4,3.4,1.6,2.8
42003451102,3.6,2.8,2.9,19.6,12.8,4.7,4.9,7.0,2.7,4.0,8.5,5.2,6.0,4.1,4.4,3.1,1.3,2.6
42003451104,7.4,7.3,6.8,5.5,4.4,4.4,5.5,9.6,3.6,9.5,7.2,6.6,7.3,4.5,4.0,3.5,2.5,0.4
42003451105,4.6,5.4,6.1,4.6,10.3,17.7,7.8,5.1,6.1,6.6,4.5,7.6,2.7,3.0,1.9,3.1,0.9,2.1
42003451300,3.7,4.6,7.9,5.1,4.2,2.9,3.6,5.4,6.1,6.9,5.3,8.4,5.3,14.9,5.8,2.9,4.6,2.3
