PARID,Address,Lat,Lon
0027D00234000000,259 MELWOOD AVE PITTSBURGH PA 15213,40.45130575,-79.95052374
0027D00265000000,222 MELWOOD AVE PITTSBURGH PA 15213,40.45066591,-79.94994772
0027D00273000000,4629 BAYARD ST PITTSBURGH PA 15213,40.45024772,-79.9495342
0002D00102000000,511 CRAWFORD ST PITTSBURGH PA 15219,40.44132597,-79.98610235
0002D00126000000,541 PROTECTORY PL PITTSBURGH PA 15219,40.442313,-79.985732
0002D00250000000,1524 CENTRE AVE PITTSBURGH PA 15219,40.44107955,-79.9856405
0009M00330000000,1880 BEDFORD AVE PITTSBURGH PA 15219,40.44588188,-79.98365556
0027H00186000000,147 N CRAIG ST PITTSBURGH PA 15213,40.4487182,-79.95053659
0027H00194000000,151 N CRAIG ST PITTSBURGH PA 15213,40.4492128,-79.9505746
0028H00057000000,403 OAKLAND AVE PITTSBURGH PA 15213,40.43849267,-79.95310447
0028H00093000000,3821 DAWSON ST PITTSBURGH PA 15213,40.43857993,-79.95191511
0011H00235000000,2200 BENTLEY DR PITTSBURGH PA 15213,40.4397231,-79.9704977
0011M00060000000,2633 5TH AVE PITTSBURGH PA 15213,40.43680008,-79.9661026
0011M00061000000,0 BEELEN ST PITTSBURGH PA 15213,40.4377824,-79.9716883
0011M00062000000,0 BEELEN ST PITTSBURGH PA 15213,40.4377824,-79.9716883
0011M00063000000,0 BEELEN ST PITTSBURGH PA 15213,40.4377824,-79.9716883
0011M00064000000,0 BEELEN ST PITTSBURGH PA 15213,40.4377824,-79.9716883
0028S00019000000,3429 DAWSON ST PITTSBURGH PA 15213,40.43518,-79.95312
0011D00195000000,480 OAK HILL DR PITTSBURGH PA 15213,40.44292086,-79.96981787
0010N00300000000,2121 CENTRE AVE PITTSBURGH PA 15219,40.44481133,-79.97801833
0011D00350000000,3014 TERRACE ST PITTSBURGH PA 15213,40.44041398,-79.96892651
0010F00210000000,2305 BEDFORD AVE PITTSBURGH PA 15219,40.44955222,-79.97543459
0027D00128000000,317 N CRAIG ST PITTSBURGH PA 15213,40.45269864,-79.95264833
0027D00131000000,325 N CRAIG ST PITTSBURGH PA 15213,40.45281072,-79.95271789
0011C00205000000,100 HYMAN PL PITTSBURGH PA 15213,40.441154,-79.9701933
0051S00203000000,5527 ELLSWORTH AVE PITTSBURGH PA 15232,40.4540811,-79.93464255
