"Column Name","Label"
"S2506_C01_054E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2506_C01_054M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2506_C01_055E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999"
"S2506_C01_055M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999"
"S2506_C01_056E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent"
"S2506_C01_056M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent"
"S2506_C01_057E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent"
"S2506_C01_057M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent"
"S2506_C01_058E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more"
"S2506_C01_058M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more"
"S2506_C01_059E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more"
"S2506_C01_059M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more"
"S2506_C01_060E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent"
"S2506_C01_060M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent"
"S2506_C01_061E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent"
"S2506_C01_061M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent"
"S2506_C01_062E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more"
"S2506_C01_062M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more"
"S2506_C01_063E","Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Zero or negative income"
"S2506_C01_063M","Owner-occupied housing units with a mortgage!!Margin of Error!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Zero or negative income"
"S2506_C01_064E","Owner-occupied housing units with a mortgage!!Estimate!!REAL ESTATE TAXES!!Less than $800"
"S2506_C01_064M","Owner-occupied housing units with a mortgage!!Margin of Error!!REAL ESTATE TAXES!!Less than $800"
"S2506_C01_065E","Owner-occupied housing units with a mortgage!!Estimate!!REAL ESTATE TAXES!!$800 to $1,499"
"S2506_C01_065M","Owner-occupied housing units with a mortgage!!Margin of Error!!REAL ESTATE TAXES!!$800 to $1,499"
"S2506_C01_066E","Owner-occupied housing units with a mortgage!!Estimate!!REAL ESTATE TAXES!!$1,500 or more"
"S2506_C01_066M","Owner-occupied housing units with a mortgage!!Margin of Error!!REAL ESTATE TAXES!!$1,500 or more"
"S2506_C01_067E","Owner-occupied housing units with a mortgage!!Estimate!!REAL ESTATE TAXES!!No real estate taxes paid"
"S2506_C01_067M","Owner-occupied housing units with a mortgage!!Margin of Error!!REAL ESTATE TAXES!!No real estate taxes paid"
"S2506_C01_068E","Owner-occupied housing units with a mortgage!!Estimate!!REAL ESTATE TAXES!!Median (dollars)"
"S2506_C01_068M","Owner-occupied housing units with a mortgage!!Margin of Error!!REAL ESTATE TAXES!!Median (dollars)"
"S2506_C01_069E","Owner-occupied housing units with a mortgage!!Estimate!!PERCENT IMPUTED!!Mortgage status"
"S2506_C01_069M","Owner-occupied housing units with a mortgage!!Margin of Error!!PERCENT IMPUTED!!Mortgage status"
