"Column Name","Label"
"DP04_0030PE","Percent!!ROOMS!!4 rooms"
"DP04_0030PM","Percent Margin of Error!!ROOMS!!4 rooms"
"DP04_0031E","Estimate!!ROOMS!!5 rooms"
"DP04_0031M","Margin of Error!!ROOMS!!5 rooms"
"DP04_0031PE","Percent!!ROOMS!!5 rooms"
"DP04_0031PM","Percent Margin of Error!!ROOMS!!5 rooms"
"DP04_0032E","Estimate!!ROOMS!!6 rooms"
"DP04_0032M","Margin of Error!!ROOMS!!6 rooms"
"DP04_0032PE","Percent!!ROOMS!!6 rooms"
"DP04_0032PM","Percent Margin of Error!!ROOMS!!6 rooms"
"DP04_0033E","Estimate!!ROOMS!!7 rooms"
"DP04_0033M","Margin of Error!!ROOMS!!7 rooms"
"DP04_0033PE","Percent!!ROOMS!!7 rooms"
"DP04_0033PM","Percent Margin of Error!!ROOMS!!7 rooms"
"DP04_0034E","Estimate!!ROOMS!!8 rooms"
"DP04_0034M","Margin of Error!!ROOMS!!8 rooms"
"DP04_0034PE","Percent!!ROOMS!!8 rooms"
"DP04_0034PM","Percent Margin of Error!!ROOMS!!8 rooms"
"DP04_0035E","Estimate!!ROOMS!!9 rooms or more"
"DP04_0035M","Margin of Error!!ROOMS!!9 rooms or more"
"DP04_0035PE","Percent!!ROOMS!!9 rooms or more"
"DP04_0035PM","Percent Margin of Error!!ROOMS!!9 rooms or more"
"DP04_0036E","Estimate!!ROOMS!!Median rooms"
"DP04_0036M","Margin of Error!!ROOMS!!Median rooms"
"DP04_0036PE","Percent!!ROOMS!!Median rooms"
"DP04_0036PM","Percent Margin of Error!!ROOMS!!Median rooms"
"DP04_0037E","Estimate!!BEDROOMS!!Total housing units"
"DP04_0037M","Margin of Error!!BEDROOMS!!Total housing units"
"DP04_0037PE","Percent!!BEDROOMS!!Total housing units"
"DP04_0037PM","Percent Margin of Error!!BEDROOMS!!Total housing units"
"DP04_0038E","Estimate!!BEDROOMS!!No bedroom"
"DP04_0038M","Margin of Error!!BEDROOMS!!No bedroom"
"DP04_0038PE","Percent!!BEDROOMS!!No bedroom"
"DP04_0038PM","Percent Margin of Error!!BEDROOMS!!No bedroom"
"DP04_0039E","Estimate!!BEDROOMS!!1 bedroom"
"DP04_0039M","Margin of Error!!BEDROOMS!!1 bedroom"
"DP04_0039PE","Percent!!BEDROOMS!!1 bedroom"
"DP04_0039PM","Percent Margin of Error!!BEDROOMS!!1 bedroom"
"DP04_0040E","Estimate!!BEDROOMS!!2 bedrooms"
"DP04_0040M","Margin of Error!!BEDROOMS!!2 bedrooms"
"DP04_0040PE","Percent!!BEDROOMS!!2 bedrooms"
"DP04_0040PM","Percent Margin of Error!!BEDROOMS!!2 bedrooms"
"DP04_0041E","Estimate!!BEDROOMS!!3 bedrooms"
"DP04_0041M","Margin of Error!!BEDROOMS!!3 bedrooms"
"DP04_0041PE","Percent!!BEDROOMS!!3 bedrooms"
"DP04_0041PM","Percent Margin of Error!!BEDROOMS!!3 bedrooms"
"DP04_0042E","Estimate!!BEDROOMS!!4 bedrooms"
"DP04_0042M","Margin of Error!!BEDROOMS!!4 bedrooms"
"DP04_0042PE","Percent!!BEDROOMS!!4 bedrooms"
"DP04_0042PM","Percent Margin of Error!!BEDROOMS!!4 bedrooms"
"DP04_0043E","Estimate!!BEDROOMS!!5 or more bedrooms"
"DP04_0043M","Margin of Error!!BEDROOMS!!5 or more bedrooms"
"DP04_0043PE","Percent!!BEDROOMS!!5 or more bedrooms"
"DP04_0043PM","Percent Margin of Error!!BEDROOMS!!5 or more bedrooms"
"DP04_0044E","Estimate!!HOUSING TENURE!!Occupied housing units"
"DP04_0044M","Margin of Error!!HOUSING TENURE!!Occupied housing units"
"DP04_0044PE","Percent!!HOUSING TENURE!!Occupied housing units"
"DP04_0044PM","Percent Margin of Error!!HOUSING TENURE!!Occupied housing units"
"DP04_0045E","Estimate!!HOUSING TENURE!!Owner-occupied"
"DP04_0045M","Margin of Error!!HOUSING TENURE!!Owner-occupied"
"DP04_0045PE","Percent!!HOUSING TENURE!!Owner-occupied"
"DP04_0045PM","Percent Margin of Error!!HOUSING TENURE!!Owner-occupied"
"DP04_0046E","Estimate!!HOUSING TENURE!!Renter-occupied"
"DP04_0046M","Margin of Error!!HOUSING TENURE!!Renter-occupied"
"DP04_0046PE","Percent!!HOUSING TENURE!!Renter-occupied"
"DP04_0046PM","Percent Margin of Error!!HOUSING TENURE!!Renter-occupied"
"DP04_0047E","Estimate!!HOUSING TENURE!!Average household size of owner-occupied unit"
"DP04_0047M","Margin of Error!!HOUSING TENURE!!Average household size of owner-occupied unit"
"DP04_0047PE","Percent!!HOUSING TENURE!!Average household size of owner-occupied unit"
"DP04_0047PM","Percent Margin of Error!!HOUSING TENURE!!Average household size of owner-occupied unit"
"DP04_0048E","Estimate!!HOUSING TENURE!!Average household size of renter-occupied unit"
"DP04_0048M","Margin of Error!!HOUSING TENURE!!Average household size of renter-occupied unit"
"DP04_0048PE","Percent!!HOUSING TENURE!!Average household size of renter-occupied unit"
"DP04_0048PM","Percent Margin of Error!!HOUSING TENURE!!Average household size of renter-occupied unit"
"DP04_0049E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0049M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0049PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0049PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0050E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later"
"DP04_0050M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later"
"DP04_0050PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later"
"DP04_0050PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later"
"DP04_0051E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009"
"DP04_0051M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009"
"DP04_0051PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009"
"DP04_0051PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009"
"DP04_0052E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999"
"DP04_0052M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999"
"DP04_0052PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999"
"DP04_0052PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999"
"DP04_0053E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989"
"DP04_0053M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989"
"DP04_0053PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989"
"DP04_0053PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989"
"DP04_0054E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979"
"DP04_0054M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979"
"DP04_0054PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979"
"DP04_0054PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979"
"DP04_0055E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"DP04_0055M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"DP04_0055PE","Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"DP04_0055PM","Percent Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"DP04_0056E","Estimate!!VEHICLES AVAILABLE!!Occupied housing units"
"DP04_0056M","Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units"
"DP04_0056PE","Percent!!VEHICLES AVAILABLE!!Occupied housing units"
"DP04_0056PM","Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units"
"DP04_0057E","Estimate!!VEHICLES AVAILABLE!!No vehicles available"
"DP04_0057M","Margin of Error!!VEHICLES AVAILABLE!!No vehicles available"
"DP04_0057PE","Percent!!VEHICLES AVAILABLE!!No vehicles available"
"DP04_0057PM","Percent Margin of Error!!VEHICLES AVAILABLE!!No vehicles available"
"DP04_0058E","Estimate!!VEHICLES AVAILABLE!!1 vehicle available"
"DP04_0058M","Margin of Error!!VEHICLES AVAILABLE!!1 vehicle available"
"DP04_0058PE","Percent!!VEHICLES AVAILABLE!!1 vehicle available"
"DP04_0058PM","Percent Margin of Error!!VEHICLES AVAILABLE!!1 vehicle available"
"DP04_0059E","Estimate!!VEHICLES AVAILABLE!!2 vehicles available"
"DP04_0059M","Margin of Error!!VEHICLES AVAILABLE!!2 vehicles available"
"DP04_0059PE","Percent!!VEHICLES AVAILABLE!!2 vehicles available"
"DP04_0059PM","Percent Margin of Error!!VEHICLES AVAILABLE!!2 vehicles available"
"DP04_0060E","Estimate!!VEHICLES AVAILABLE!!3 or more vehicles available"
"DP04_0060M","Margin of Error!!VEHICLES AVAILABLE!!3 or more vehicles available"
"DP04_0060PE","Percent!!VEHICLES AVAILABLE!!3 or more vehicles available"
"DP04_0060PM","Percent Margin of Error!!VEHICLES AVAILABLE!!3 or more vehicles available"
"DP04_0061E","Estimate!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0061M","Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0061PE","Percent!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0061PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Occupied housing units"
"DP04_0062E","Estimate!!HOUSE HEATING FUEL!!Utility gas"
"DP04_0062M","Margin of Error!!HOUSE HEATING FUEL!!Utility gas"
"DP04_0062PE","Percent!!HOUSE HEATING FUEL!!Utility gas"
"DP04_0062PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Utility gas"
"DP04_0063E","Estimate!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP04_0063M","Margin of Error!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP04_0063PE","Percent!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP04_0063PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP04_0064E","Estimate!!HOUSE HEATING FUEL!!Electricity"
"DP04_0064M","Margin of Error!!HOUSE HEATING FUEL!!Electricity"
"DP04_0064PE","Percent!!HOUSE HEATING FUEL!!Electricity"
"DP04_0064PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Electricity"
"DP04_0065E","Estimate!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP04_0065M","Margin of Error!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP04_0065PE","Percent!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP04_0065PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP04_0066E","Estimate!!HOUSE HEATING FUEL!!Coal or coke"
"DP04_0066M","Margin of Error!!HOUSE HEATING FUEL!!Coal or coke"
"DP04_0066PE","Percent!!HOUSE HEATING FUEL!!Coal or coke"
"DP04_0066PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Coal or coke"
"DP04_0067E","Estimate!!HOUSE HEATING FUEL!!Wood"
"DP04_0067M","Margin of Error!!HOUSE HEATING FUEL!!Wood"
"DP04_0067PE","Percent!!HOUSE HEATING FUEL!!Wood"
"DP04_0067PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Wood"
"DP04_0068E","Estimate!!HOUSE HEATING FUEL!!Solar energy"
"DP04_0068M","Margin of Error!!HOUSE HEATING FUEL!!Solar energy"
"DP04_0068PE","Percent!!HOUSE HEATING FUEL!!Solar energy"
"DP04_0068PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Solar energy"
"DP04_0069E","Estimate!!HOUSE HEATING FUEL!!Other fuel"
"DP04_0069M","Margin of Error!!HOUSE HEATING FUEL!!Other fuel"
"DP04_0069PE","Percent!!HOUSE HEATING FUEL!!Other fuel"
"DP04_0069PM","Percent Margin of Error!!HOUSE HEATING FUEL!!Other fuel"
"DP04_0070E","Estimate!!HOUSE HEATING FUEL!!No fuel used"
"DP04_0070M","Margin of Error!!HOUSE HEATING FUEL!!No fuel used"
