"Label (Grouping)","Total"
"Census Tract 4134, Allegheny County, Pennsylvania",""
"    Estimate","1,705"
"Census Tract 4135, Allegheny County, Pennsylvania",""
"    Estimate","2,937"
"Census Tract 4141.01, Allegheny County, Pennsylvania",""
"    Estimate","2,089"
"Census Tract 4141.02, Allegheny County, Pennsylvania",""
"    Estimate","3,015"
"Census Tract 4142, Allegheny County, Pennsylvania",""
"    Estimate","2,343"
"Census Tract 4150.01, Allegheny County, Pennsylvania",""
"    Estimate","1,794"
"Census Tract 4150.02, Allegheny County, Pennsylvania",""
"    Estimate","1,011"
"Census Tract 4160, Allegheny County, Pennsylvania",""
"    Estimate","822"
"Census Tract 4171, Allegheny County, Pennsylvania",""
"    Estimate","1,102"
"Census Tract 4172, Allegheny County, Pennsylvania",""
"    Estimate","747"
"Census Tract 4180, Allegheny County, Pennsylvania",""
"    Estimate","822"
"Census Tract 4190, Allegheny County, Pennsylvania",""
"    Estimate","1,618"
"Census Tract 4200, Allegheny County, Pennsylvania",""
"    Estimate","860"
"Census Tract 4211, Allegheny County, Pennsylvania",""
"    Estimate","1,853"
"Census Tract 4212, Allegheny County, Pennsylvania",""
"    Estimate","1,859"
"Census Tract 4220, Allegheny County, Pennsylvania",""
"    Estimate","2,086"
"Census Tract 4230, Allegheny County, Pennsylvania",""
"    Estimate","1,445"
"Census Tract 4240, Allegheny County, Pennsylvania",""
"    Estimate","1,901"
"Census Tract 4250, Allegheny County, Pennsylvania",""
"    Estimate","1,662"
"Census Tract 4263, Allegheny County, Pennsylvania",""
"    Estimate","2,482"
"Census Tract 4264, Allegheny County, Pennsylvania",""
"    Estimate","2,109"
"Census Tract 4267, Allegheny County, Pennsylvania",""
"    Estimate","1,195"
"Census Tract 4268, Allegheny County, Pennsylvania",""
"    Estimate","2,097"
"Census Tract 4270, Allegheny County, Pennsylvania",""
"    Estimate","2,148"
"Census Tract 4271, Allegheny County, Pennsylvania",""
"    Estimate","2,233"
"Census Tract 4272, Allegheny County, Pennsylvania",""
"    Estimate","2,389"
"Census Tract 4281, Allegheny County, Pennsylvania",""
"    Estimate","589"
"Census Tract 4282, Allegheny County, Pennsylvania",""
"    Estimate","934"
"Census Tract 4291, Allegheny County, Pennsylvania",""
"    Estimate","1,139"
"Census Tract 4292.01, Allegheny County, Pennsylvania",""
"    Estimate","1,936"
"Census Tract 4292.02, Allegheny County, Pennsylvania",""
"    Estimate","1,979"
"Census Tract 4293, Allegheny County, Pennsylvania",""
"    Estimate","2,553"
"Census Tract 4294, Allegheny County, Pennsylvania",""
"    Estimate","2,010"
"Census Tract 4295, Allegheny County, Pennsylvania",""
"    Estimate","2,533"
"Census Tract 4296, Allegheny County, Pennsylvania",""
"    Estimate","1,672"
"Census Tract 4297, Allegheny County, Pennsylvania",""
"    Estimate","1,121"
"Census Tract 4301, Allegheny County, Pennsylvania",""
"    Estimate","960"
"Census Tract 4302, Allegheny County, Pennsylvania",""
"    Estimate","2,193"
"Census Tract 4311, Allegheny County, Pennsylvania",""
"    Estimate","1,889"
"Census Tract 4314, Allegheny County, Pennsylvania",""
"    Estimate","987"
"Census Tract 4315, Allegheny County, Pennsylvania",""
"    Estimate","1,879"
"Census Tract 4323, Allegheny County, Pennsylvania",""
"    Estimate","1,243"
"Census Tract 4324, Allegheny County, Pennsylvania",""
"    Estimate","1,492"
"Census Tract 4340, Allegheny County, Pennsylvania",""
"    Estimate","791"
"Census Tract 4350, Allegheny County, Pennsylvania",""
"    Estimate","1,154"
"Census Tract 4370, Allegheny County, Pennsylvania",""
"    Estimate","2,026"
"Census Tract 4390, Allegheny County, Pennsylvania",""
"    Estimate","581"
"Census Tract 4455, Allegheny County, Pennsylvania",""
"    Estimate","2,000"
"Census Tract 4460, Allegheny County, Pennsylvania",""
"    Estimate","643"
"Census Tract 4470, Allegheny County, Pennsylvania",""
"    Estimate","589"
"Census Tract 4480, Allegheny County, Pennsylvania",""
"    Estimate","632"
"Census Tract 4490, Allegheny County, Pennsylvania",""
"    Estimate","1,143"
"Census Tract 4507, Allegheny County, Pennsylvania",""
"    Estimate","1,570"
