tract,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino
42003473602,86.5,1.0,6.0,6.9
42003474101,94.7,0.5,3.0,4.2
42003474102,96.8,0.0,2.5,3.9
42003474201,93.7,0.0,5.8,0.0
42003474202,92.6,0.5,4.8,2.1
42003474203,91.5,0.5,6.5,0.8
42003475101,97.7,1.3,0.2,2.0
42003475102,98.5,0.0,1.3,0.0
42003475200,94.9,0.0,1.3,0.8
42003475301,89.9,7.6,2.1,0.4
42003475303,97.6,0.0,1.9,0.5
42003475304,94.6,1.3,2.7,0.3
42003475401,95.7,0.2,1.5,1.1
42003475402,99.5,0.2,0.0,1.7
42003476100,88.6,2.1,5.0,0.7
42003476200,97.7,0.0,0.0,0.9
42003477100,97.6,0.0,1.8,0.2
42003477200,95.3,0.4,3.7,1.1
42003477300,82.6,7.9,8.4,0.6
42003478100,90.2,3.7,2.5,1.5
42003478200,96.0,1.9,1.7,4.6
42003479000,98.8,0.0,0.0,0.6
42003480101,65.1,19.5,7.4,2.2
42003480102,94.8,5.0,0.0,0.8
42003480200,97.5,2.0,0.0,1.1
42003480300,98.2,0.3,0.6,0.7
42003480400,94.8,4.9,0.0,0.0
42003481000,60.2,28.1,7.4,2.1
42003482500,85.2,13.4,0.0,0.2
42003483800,29.9,66.8,0.0,0.0
42003484300,76.2,15.9,6.3,0.8
42003484500,98.2,0.0,0.0,1.3
42003484600,88.5,3.5,0.5,1.0
42003485000,88.5,10.6,0.0,0.9
42003486700,33.4,57.3,0.0,0.7
42003486800,41.8,54.4,0.4,0.8
42003486900,38.6,58.9,0.0,4.1
42003487000,98.8,0.0,0.0,2.6
42003488100,85.5,13.6,0.0,0.0
42003488200,69.0,29.0,0.2,0.7
42003488300,94.7,1.8,1.3,4.0
42003488400,90.7,7.1,0.0,0.8
42003488500,94.5,2.6,0.0,0.6
42003488600,93.1,5.1,0.0,0.5
42003489001,96.0,1.2,2.7,0.0
42003489002,95.9,0.8,2.6,0.3
42003490002,92.9,5.8,0.9,0.1
42003490003,94.2,0.8,3.8,0.2
42003490004,96.8,3.1,0.1,1.6
42003491101,96.4,2.6,0.6,1.0
42003491200,97.5,0.5,1.4,0.3
42003492700,76.4,21.5,0.0,2.4
42003492800,36.5,53.3,0.0,0.5
42003492900,71.9,19.6,0.6,3.5
42003494000,95.6,0.8,0.0,1.1
42003495000,96.9,2.1,0.0,2.7
42003496101,98.9,0.5,0.2,0.0
42003496102,96.2,1.1,0.3,0.5
42003496200,98.2,1.4,0.0,1.2
42003497000,96.9,2.5,0.0,2.6
42003498000,95.8,4.0,0.0,0.4
42003499300,100.0,0.0,0.0,0.0
42003499400,91.5,3.2,1.4,1.8
42003500300,99.6,0.2,0.0,0.3
42003501000,91.1,5.6,1.3,1.1
42003503002,95.6,4.0,0.0,1.3
42003504100,70.7,26.9,0.2,1.0
42003507000,90.4,5.0,0.5,1.1
42003508000,78.2,18.0,0.2,2.0
42003509400,89.7,7.9,0.0,0.4
42003510000,40.4,52.8,3.3,1.1
42003512000,70.2,24.5,0.0,0.0
42003512800,37.4,55.1,0.0,1.5
42003512900,22.8,76.5,0.5,0.9
42003513800,28.9,69.4,0.0,0.2
42003514000,19.5,77.8,0.0,1.0
42003515100,48.0,51.2,0.0,0.0
42003515200,66.2,32.2,0.0,2.8
42003515300,56.8,41.2,0.0,1.8
42003515401,85.1,12.1,0.4,2.2
42003516100,97.2,1.1,1.3,3.4
42003516200,80.9,11.0,5.5,0.0
42003517000,72.6,23.5,0.3,0.0
42003518001,87.0,10.5,2.1,1.5
42003519000,77.2,16.0,2.2,2.3
42003520001,83.7,14.6,0.5,0.9
42003520002,85.8,10.8,0.0,1.6
42003521100,75.4,20.5,1.1,1.3
42003521200,76.6,14.1,6.9,0.5
42003521301,63.9,21.2,9.4,2.1
42003521302,71.7,11.8,11.8,1.2
42003521401,79.9,15.3,3.2,4.5
42003521402,84.8,5.4,7.9,0.8
42003521500,91.1,2.1,3.0,0.8
42003522000,82.0,16.1,0.0,0.4
42003523100,12.2,87.1,0.0,0.4
42003523200,43.1,53.8,1.8,1.1
42003523300,63.6,34.1,0.3,1.5
42003523400,63.9,31.3,0.9,1.2
42003523501,56.1,40.8,0.0,0.0
42003523502,80.5,11.3,6.3,0.9
42003523600,58.6,35.0,0.0,2.7
42003523701,80.6,13.6,4.4,1.6
42003523702,72.8,23.4,0.7,2.6
42003523800,87.2,10.3,0.0,0.2
42003524000,87.8,10.1,0.0,1.4
42003525100,98.4,0.5,0.0,0.7
42003525200,98.9,1.1,0.0,2.3
42003525300,99.0,0.2,0.7,2.0
42003526101,94.1,3.2,0.7,2.3
42003526102,99.5,0.5,0.0,2.0
42003526201,90.8,5.5,0.0,3.0
42003526202,89.4,4.0,5.2,2.6
42003526301,95.0,3.3,0.3,1.4
42003526302,94.0,4.3,0.4,0.0
42003550900,50.1,46.6,0.5,0.2
42003551200,60.9,33.3,0.0,5.6
42003551300,97.1,1.5,0.0,3.1
42003551900,48.5,38.1,5.9,4.0
42003552000,59.7,28.4,0.0,4.0
42003552100,38.5,56.1,0.0,0.0
42003552200,92.9,6.3,0.9,2.4
42003552300,39.4,52.6,0.0,8.8
42003552400,86.4,9.9,0.6,4.1
42003560400,30.9,61.9,0.0,0.7
42003560500,72.0,25.6,0.5,1.9
42003560600,16.3,72.1,0.0,0.6
42003561000,25.5,68.4,0.0,5.6
42003561100,3.8,87.4,0.0,3.1
42003561200,6.3,90.1,0.0,6.1
42003561400,25.1,68.6,0.7,0.0
42003561500,26.7,65.8,5.3,0.0
42003561600,68.7,31.3,0.0,1.4
42003561700,50.9,48.3,0.0,0.0
42003561900,5.3,89.6,0.0,0.2
42003562000,66.7,8.5,20.2,7.6
42003562300,38.5,57.6,1.5,2.9
42003562400,33.2,59.7,0.9,2.3
42003562500,49.1,43.5,1.3,5.0
42003562600,60.5,34.3,2.5,0.3
42003562700,52.6,27.9,9.9,0.2
42003562800,89.5,6.9,0.0,0.2
42003562900,69.5,21.5,0.7,0.8
42003563000,52.0,44.5,0.0,1.2
42003563100,85.4,2.2,7.9,0.0
42003563200,64.5,31.1,1.3,2.6
42003563300,96.6,1.4,0.3,4.7
42003563800,95.1,0.9,1.5,0.6
42003563900,89.8,7.7,0.6,1.1
42003564000,95.0,0.8,2.0,0.6
42003564100,98.1,0.4,1.0,1.9
42003564200,95.3,1.4,1.5,0.0
42003564400,94.2,4.8,0.0,0.3
42003564500,95.5,1.5,0.0,0.0
42003980000,81.1,18.9,0.0,0.0
42003980300,100.0,0.0,0.0,0.0
42003980400,54.5,45.5,0.0,27.3
42003980500,100.0,0.0,0.0,0.0
42003980700,100.0,0.0,0.0,0.0
42003980900,48.9,43.8,1.1,7.1
42003981000,100.0,0.0,0.0,0.0
42003981800,49.2,45.5,0.0,3.1
42003982200,83.3,8.0,4.9,0.6
