tract,housing_units_total
42003407002,"2,706"
42003408001,"1,920"
42003408002,"2,335"
42003409000,"3,945"
42003410000,486
42003411000,"2,398"
42003412001,"3,077"
42003412002,"1,827"
42003413100,"2,822"
42003413201,"1,640"
42003413202,"1,218"
42003413300,"1,927"
42003413400,"1,705"
42003413500,"2,937"
42003414101,"2,089"
42003414102,"3,015"
42003414200,"2,343"
42003415001,"1,794"
42003415002,"1,011"
42003416000,822
42003417100,"1,102"
42003417200,747
42003418000,822
42003419000,"1,618"
42003420000,860
42003421100,"1,853"
42003421200,"1,859"
42003422000,"2,086"
42003423000,"1,445"
42003424000,"1,901"
42003425000,"1,662"
42003426300,"2,482"
42003426400,"2,109"
42003426700,"1,195"
42003426800,"2,097"
42003427000,"2,148"
42003427100,"2,233"
42003427200,"2,389"
42003428100,589
42003428200,934
42003429100,"1,139"
42003429201,"1,936"
42003429202,"1,979"
42003429300,"2,553"
42003429400,"2,010"
42003429500,"2,533"
42003429600,"1,672"
42003429700,"1,121"
42003430100,960
42003430200,"2,193"
42003431100,"1,889"
42003431400,987
42003431500,"1,879"
42003432300,"1,243"
42003432400,"1,492"
42003434000,791
42003435000,"1,154"
42003437000,"2,026"
42003439000,581
42003445500,"2,000"
42003446000,643
42003447000,589
42003448000,632
42003449000,"1,143"
42003450700,"1,570"
42003450800,"1,346"
42003451101,"1,664"
42003451102,"2,141"
42003451104,"1,287"
42003451105,"2,492"
42003451300,"2,896"
42003452000,"2,431"
42003453003,777
42003453004,"3,198"
42003455000,629
42003456001,"1,347"
42003456003,"2,347"
42003456004,"2,253"
42003457100,764
42003457200,"1,839"
42003458000,"3,426"
42003459101,694
42003459102,"2,325"
42003459201,"2,891"
42003459202,483
42003460001,"2,012"
42003460002,"1,396"
42003461000,632
42003462100,"1,403"
42003462600,"2,014"
42003463900,"1,483"
42003464300,"1,614"
42003464400,"2,053"
42003465600,"1,348"
42003465800,"1,703"
42003468700,865
42003468800,"1,389"
42003468900,"2,021"
42003469000,"2,077"
42003470300,"1,688"
42003470400,"1,401"
42003470501,"2,233"
42003470502,"1,304"
42003470600,"1,595"
42003471000,645
42003472100,"1,312"
42003472200,"1,148"
42003472300,"1,073"
42003472400,876
42003473100,"2,191"
42003473200,"1,640"
42003473300,"2,307"
42003473401,"1,613"
42003473402,"1,538"
42003473500,"1,312"
42003473601,"1,603"
42003473602,"2,138"
42003474101,"1,323"
42003474102,"1,372"
42003474201,912
42003474202,"1,903"
42003474203,"1,595"
42003475101,"2,404"
42003475102,682
42003475200,"1,943"
42003475301,"2,061"
42003475303,"1,573"
42003475304,"2,289"
42003475401,"1,594"
42003475402,"1,215"
42003476100,"2,636"
42003476200,"1,493"
42003477100,"1,667"
42003477200,"1,940"
42003477300,"2,858"
42003478100,"2,185"
42003478200,"2,582"
42003479000,865
42003480101,"2,434"
42003480102,"1,347"
42003480200,"1,467"
42003480300,"1,483"
42003480400,"2,234"
42003481000,"1,775"
42003482500,"1,014"
42003483800,"2,018"
42003484300,"1,948"
42003484500,"2,894"
42003484600,"1,129"
42003485000,611
42003486700,"1,529"
42003486800,"1,020"
42003486900,950
42003487000,972
42003488100,"1,015"
42003488200,"1,700"
42003488300,960
42003488400,"2,162"
42003488500,"1,358"
42003488600,"2,250"
42003489001,"2,136"
42003489002,"1,511"
42003490002,"2,426"
42003490003,"1,524"
42003490004,"1,936"
42003491101,"2,378"
42003491200,"1,030"
42003492700,"1,221"
42003492800,"1,566"
42003492900,"1,311"
42003494000,732
42003495000,"1,570"
42003496101,"1,281"
42003496102,"1,986"
42003496200,"2,674"
42003497000,479
42003498000,"1,103"
42003499300,834
42003499400,"1,591"
42003500300,"2,087"
42003501000,875
42003503002,"2,896"
42003504100,"2,846"
42003507000,"1,172"
42003508000,"1,194"
42003509400,"3,200"
42003510000,"1,067"
42003512000,"1,279"
42003512800,"1,017"
42003512900,740
42003513800,"1,315"
42003514000,"1,095"
42003515100,"1,594"
42003515200,"1,388"
42003515300,"1,129"
42003515401,"1,328"
42003516100,711
42003516200,929
42003517000,"1,069"
42003518001,"1,802"
42003519000,"1,356"
42003520001,"1,608"
42003520002,"1,691"
42003521100,"1,817"
42003521200,"2,251"
42003521301,"2,105"
42003521302,"2,166"
42003521401,"1,233"
42003521402,"1,520"
42003521500,"1,883"
42003522000,"1,888"
42003523100,"2,061"
42003523200,"1,928"
42003523300,"1,865"
42003523400,"2,497"
42003523501,"2,112"
42003523502,663
42003523600,"2,327"
42003523701,"1,942"
42003523702,"2,744"
42003523800,"2,358"
42003524000,"1,281"
42003525100,"1,078"
42003525200,"1,152"
42003525300,"1,021"
42003526101,"2,883"
42003526102,895
42003526201,"1,491"
42003526202,"2,076"
42003526301,"1,691"
42003526302,"2,271"
42003550900,"1,120"
42003551200,"1,921"
42003551300,"1,244"
42003551900,974
42003552000,"1,308"
42003552100,555
42003552200,628
42003552300,"1,341"
42003552400,"1,623"
42003560400,"1,053"
42003560500,"1,343"
42003560600,881
42003561000,951
42003561100,575
42003561200,932
42003561400,"2,607"
42003561500,"1,892"
42003561600,985
42003561700,503
42003561900,"1,246"
42003562000,"2,049"
42003562300,"1,772"
42003562400,"1,559"
42003562500,"1,530"
42003562600,"1,441"
42003562700,"1,281"
42003562800,841
42003562900,"1,073"
42003563000,"1,385"
42003563100,"1,768"
42003563200,"1,936"
42003563300,618
42003563800,"1,765"
42003563900,"2,162"
42003564000,"2,319"
42003564100,380
42003564200,"1,067"
42003564400,"3,064"
42003564500,"1,365"
42003980000,87
42003980100,0
42003980300,10
42003980400,13
42003980500,10
42003980600,0
42003980700,14
42003980800,0
42003980900,0
42003981000,10
42003981100,0
42003981200,0
42003981800,13
42003982200,103
