STOP_ID,ROUTE,STOP_ROUTE,STOP_NAME,CLEVER_ID,LATITUDE,LONGITUDE,ALL_ROUTES,SHELTER,STOP_TYPE,CURRENT_STOP,FY19_AVG_ON,FY19_AVG_OFF,FY19_AVG_TOTAL,FY19_RANK,1806_ON,1806_OFF,1809_ON,1809_OFF,1811_ON,1811_OFF,1903_ON,1903_OFF,1906_ON,1906_OFF
E52720,87,E52720_87,STANTON AVE AT JANCEY ST,9304,40.473962,-79.931405,87,No Shelter,Bus,,1,7,8,6328,0.5,4.8,2.1,6.5,1.5,8.0,1.2,6.9,1.1,6.9
N43820,8,N43820_8,PERRYSVILLE AVE AT #3820,905,40.488001,-80.01629,8,No Shelter,Bus,,1,7,8,6329,0.5,5.1,0.9,7.7,0.4,6.1,0.5,7.0,0.8,8.2
S01620,P7,S01620_P7,5TH AVE AT #1681,17224,40.353075,-79.846979,"55, 56, 59, 61C, P7",No Shelter,Bus,,0,8,8,6330,0.5,6.3,0.3,7.0,0.1,6.3,0.2,7.8,0.1,10.8
E56030,P16,E56030_P16,WALLACE AVE AT WOOD ST,7624,40.444495,-79.884149,"67, 69, 79, P12, P16, P67, P78",No Shelter,Bus,,1,7,8,6331,0.4,6.2,0.7,11.1,1.2,6.9,1.0,6.2,3.5,4.2
X01995,43,X01995_43,BOGGS AVE OPP PAUL ST,6739,40.422554,-80.010135,43,No Shelter,Bus,,0,8,8,6332,0.4,8.0,0.0,7.0,0.4,8.0,0.1,7.2,0.1,9.5
P01600,1,P01600_1,EAST BUSWAY AT PENN STATION,20287,40.443763,-79.992218,"1, 11, 15, 39, 40, 44, 6, P1, P2",No Shelter,Busway,,0,8,8,6333,0.4,8.4,0.4,8.2,0.9,5.6,0.1,6.6,0.3,13.3
S39720,Y49,S39720_Y49,PROSPECT RD AT GIESE DR,9558,40.363612,-79.975058,Y49,No Shelter,Bus,,1,7,8,6334,0.4,5.8,1.3,7.5,0.6,7.1,0.6,6.6,0.3,5.7
E60100,61A,E60100_61A,YOST BLVD AT BRINTON RD,7564,40.412381,-79.856356,"59, 61A, 61B",No Shelter,Bus,,1,7,8,6335,0.4,6.0,0.5,6.6,0.2,7.0,0.2,6.6,1.6,6.6
N22445,P78,N22445_P78,FREEPORT RD OPP ALPHA DR W,12619,40.537682,-79.834763,"1, P16, P78",No Shelter,Bus,,0,8,8,6336,0.4,12.8,0.0,2.2,0.0,8.6,0.4,8.5,0.4,5.5
X06810,36,X06810_36,GILKESON RD OPP CEDAR BLVD F,6607,40.361267,-80.063733,36,No Shelter,Bus,,0,8,8,6337,0.3,6.4,0.1,8.5,0.0,5.9,0.1,9.8,0.3,8.2
W22430,29,W22430_29,STEUBENVILLE PIKE AT PITTSBU,5101,40.439892,-80.091237,29,No Shelter,Bus,,1,7,8,6338,0.3,11.4,0.4,6.2,1.7,6.7,1.5,6.8,1.3,5.1
X17735,40,X17735_40,SOUTHERN AVE OPP SANDWICH ST,6747,40.425081,-80.009506,40,No Shelter,Bus,,0,8,8,6339,0.3,15.3,1.0,14.0,1.0,4.6,0.0,2.5,0.0,2.5
E08160,28X,E08160_28X,BLVD OF ALLIES AT DUQUESNE U,24,40.434792,-79.989189,"28X, 65, 67, 69",No Shelter,Bus,,0,8,8,6340,0.3,11.0,0.1,11.4,0.0,5.3,0.2,7.4,0.0,6.5
S21360,52L,S21360_52L,GREENSPRINGS AVE AT DUQUESNE,11744,40.392147,-79.88529,52L,No Shelter,Bus,,0,8,8,6341,0.3,7.7,0.4,8.3,0.7,7.4,0.7,9.1,0.3,6.3
S39670,Y49,S39670_Y49,PROSPECT RD AT COLTER DR,9560,40.362914,-79.971229,Y49,No Shelter,Bus,,0,8,8,6342,0.3,7.0,0.2,6.7,0.2,7.5,0.4,7.9,0.2,9.8
