_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
114147,42133000200,20-Dec,116,191,1401,2751.2,0,1440.95,1474.08,0,1152.91,25,10,0,104,2,0,29,0,0,44,8,0,29,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,3,0,0,0,137,9,0,68,0,0,2,16,0,61,0,0,2,0,0,0,0,0,4,1708,2626,114,6,162,,,,,,
114148,42071014101,20-Dec,162,27,1854,2675.85,0,2573.4,0,0,0,0,60,0,205,5,0,19,3,0,23,43,0,142,5,0,6,1,0,0,3,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,265,4,0,,,,,,
114149,42097082400,20-Dec,106,53,1544,4001.83,0,3944.66,3380,0,2461.47,2,23,0,115,0,0,5,0,0,0,22,0,106,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,38,0,0,5,0,0,2,2,0,28,0,0,0,0,0,0,0,0,3,1703,5841,138,1,40,,,,,,
114150,42071014700,20-Dec,59,62,1347,2295.33,0,4074.26,3682,0,2686.5,1,3,0,19,1,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1468,6368,22,0,9,,,,,,
114151,42071000500,20-Dec,67,192,1627,1213.4,0,3520.5,2356,0,2322.78,2,5,0,24,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,2,0,21,0,0,0,0,0,0,0,0,5,1886,4678,29,0,29,,,,,,
114152,42107003400,20-Dec,18,3,1444,2665,0,3733.89,0,0,0,0,3,0,225,1,0,6,0,0,10,2,0,197,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,228,0,0,,,,,,
114153,42097081700,20-Dec,93,83,1427,3133.59,0,2722.05,953,0,1503.7,1,39,0,360,2,0,7,13,0,121,23,0,201,0,0,0,0,0,0,1,0,31,0,0,0,5,0,0,2,0,0,0,46,0,0,12,1,0,8,0,0,12,0,0,0,0,0,0,0,0,14,1603,2456,399,7,47,,,,,,
114154,42095010800,20-Dec,502,317,1656,1691.36,0,3575.45,1851.47,0,1907.08,19,96,0,40,19,0,2,0,0,0,37,0,35,1,0,0,1,0,0,38,0,3,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,2,9,0,20,0,0,0,0,0,5,3,0,13,2475,3758,136,0,59,,,,,,
114155,42127960900,20-Dec,92,49,1832,4043.51,0,3465.47,0,0,0,0,41,0,383,2,0,32,1,0,15,38,0,313,0,0,4,0,0,10,0,0,9,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,424,9,0,,,,,,
114156,42103950202,20-Dec,44,11,872,3554.18,0,3000.18,0,0,0,0,17,0,242,1,0,35,2,0,5,14,0,188,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,0,259,2,0,,,,,,
114157,42025020600,20-Dec,312,184,2478,1534.68,0,1686.44,1407.11,0,636.9,9,80,0,180,16,0,40,5,0,8,35,0,75,18,0,45,2,0,5,4,0,7,0,1,0,6,0,0,3,0,0,0,29,3,0,5,2,0,2,3,0,6,1,0,6,0,0,3,0,0,7,2974,2044,260,10,38,,,,,,
114158,42079215701,20-Dec,19,0,990,4206.33,0,2680.38,0,0,0,0,3,0,87,0,0,9,0,0,8,3,0,60,0,0,3,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,90,1,0,,,,,,
114159,42069100500,20-Dec,65,83,1076,1680.53,0,2626.97,1353,0,1969.18,2,15,0,71,7,0,32,0,0,0,7,0,39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,0,10,0,0,0,2,0,39,0,0,4,0,0,0,0,0,2,1224,3322,86,1,57,,,,,,
114160,42011001700,20-Dec,125,200,1175,2401.52,0,2138.75,828.83,0,2208.04,23,21,0,115,3,0,21,0,0,0,10,0,47,7,0,30,0,0,0,1,0,17,0,0,0,2,0,0,0,0,0,0,74,22,0,23,0,0,1,1,0,43,0,0,1,0,0,0,0,0,6,1500,3036,136,2,97,,,,,,
114161,42011001400,20-Dec,138,191,1646,4849.21,0,2668.15,4057.31,0,2901.45,13,28,0,79,1,0,3,0,0,0,26,0,58,0,0,10,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,93,0,0,5,0,0,3,13,0,79,0,0,0,0,0,0,0,0,6,1975,6958,107,1,106,,,,,,
